u	v	w
604	702	2	
6423	703	22	
1001	704	15	
6877	705	10	
2093	706	1	
5613	707	1	
175	708	8	
8413	709	10	
6	710	8	
2539	711	17	
4676	712	2	
3053	713	16	
1156	714	13	
356	715	11	
4272	716	19	
6306	717	3	
4222	718	5	
1425	719	12	
3794	720	18	
5138	721	13	
9596	722	14	
1659	723	8	
1514	724	14	
5962	725	15	
9095	726	21	
4255	727	7	
3496	728	20	
3432	729	33	
144	730	4	
784	731	28	
352	732	3	
7756	733	13	
1484	734	6	
9446	735	6	
7730	736	15	
3864	737	7	
4523	738	15	
1863	739	35	
3883	740	14	
2841	741	16	
5223	742	12	
161	743	10	
8520	744	13	
2388	745	4	
179	746	7	
4910	747	17	
5375	748	18	
4826	749	7	
75	750	14	
2241	751	9	
7208	752	7	
3127	753	7	
8006	754	2	
2038	755	4	
8589	756	12	
8243	757	5	
1584	758	20	
2714	759	13	
29	760	1	
1386	761	3	
1306	762	10	
3213	763	5	
7609	764	13	
618	765	9	
2023	766	7	
6490	767	5	
2900	768	14	
2510	769	46	
1297	770	19	
7943	771	5	
6939	772	13	
8042	773	6	
7023	774	32	
6112	775	44	
5515	776	11	
1796	777	19	
1469	778	5	
4768	779	3	
9280	780	15	
3054	781	9	
7423	782	6	
9673	783	30	
7191	784	14	
9244	785	10	
4028	786	12	
2831	787	9	
9454	788	12	
9381	789	5	
1016	790	10	
2177	791	18	
3962	792	4	
2106	793	50	
9672	794	12	
6763	795	15	
1878	796	3	
9313	797	12	
3375	798	22	
6063	799	10	
3118	800	2	
6475	801	6	
4948	802	4	
7337	803	16	
2158	804	15	
3622	805	6	
595	806	2	
3428	807	14	
6363	808	6	
55	809	2	
1479	810	13	
6902	811	1	
647	812	12	
1323	813	5	
8726	814	27	
2827	815	9	
634	816	20	
9331	817	16	
5145	818	10	
2358	819	15	
6691	820	26	
2653	821	15	
6678	822	9	
9488	823	6	
8314	824	12	
8772	825	28	
9995	826	1	
7006	827	16	
3234	828	21	
6644	829	11	
8113	830	12	
6596	831	5	
575	832	22	
1599	833	15	
4571	834	2	
7471	835	19	
7364	836	2	
6787	837	5	
6281	838	17	
4262	839	13	
6372	840	1	
8847	841	4	
7484	842	7	
8895	843	23	
6474	844	22	
3258	845	9	
5374	846	7	
8401	847	22	
7437	848	10	
1639	849	9	
207	850	3	
3779	851	19	
1957	852	35	
7050	853	15	
1299	854	7	
8003	855	14	
5162	856	61	
6411	857	27	
8941	858	57	
7462	859	9	
5665	860	18	
3188	861	1	
6524	862	16	
1871	863	26	
6621	864	16	
9408	865	6	
2785	866	6	
6423	867	16	
7990	868	7	
2522	869	8	
8874	870	7	
8929	871	4	
6458	872	11	
6136	873	10	
457	874	27	
3041	875	10	
3127	876	1	
8574	877	40	
4050	878	9	
3482	879	18	
4522	880	43	
1951	881	8	
4274	882	18	
9834	883	3	
6505	884	15	
5653	885	10	
2442	886	6	
2823	887	30	
6826	888	1	
2083	889	14	
812	890	15	
7038	891	14	
9141	892	9	
6731	893	3	
1358	894	8	
2265	895	10	
6787	896	12	
2890	897	10	
8239	898	12	
7520	899	3	
566	900	4	
4962	901	14	
2507	902	3	
9499	903	8	
9533	904	9	
6256	905	3	
9168	906	21	
5038	907	22	
6144	908	16	
90	909	1	
7320	910	10	
9370	911	9	
8847	912	14	
9224	913	8	
1796	914	56	
627	915	19	
827	916	18	
8387	917	3	
1218	918	5	
2144	919	40	
6338	920	14	
6281	921	26	
4641	922	8	
7278	923	16	
3156	924	3	
803	925	15	
7981	926	2	
6832	927	3	
6349	928	14	
8850	929	25	
1208	930	5	
6425	931	8	
168	932	8	
3586	933	13	
4407	934	32	
9986	935	1	
2622	936	7	
5789	937	27	
5443	938	17	
3429	939	10	
5515	940	4	
6156	941	23	
4431	942	2	
2967	943	4	
8068	944	11	
44	945	5	
9829	946	10	
4315	947	15	
2653	948	32	
5165	949	19	
159	950	10	
4864	951	16	
5251	952	23	
5344	953	7	
8226	954	23	
8313	955	11	
2469	956	14	
6254	957	13	
2789	958	20	
6893	959	16	
4875	960	15	
5088	961	37	
102	962	25	
9532	963	12	
5614	964	9	
5231	965	10	
8185	966	8	
8649	967	5	
979	968	35	
9275	969	4	
1209	970	6	
4357	971	3	
4798	972	22	
8098	973	16	
2380	974	17	
4958	975	13	
8250	976	3	
6683	977	1	
633	978	4	
1433	979	33	
6124	980	2	
8190	981	2	
932	982	24	
4374	983	12	
9556	984	14	
6303	985	16	
1368	986	8	
5955	987	20	
6862	988	5	
5474	989	7	
3078	990	10	
6794	991	16	
4496	992	25	
7800	993	9	
6664	994	4	
4729	995	14	
4474	996	4	
4326	997	6	
8886	998	29	
8967	999	27	
7515	1000	9	
3661	1001	8	
7952	1002	5	
3085	1003	17	
7815	1004	4	
3364	1005	14	
8977	1006	17	
8190	1007	5	
6302	1008	8	
7480	1009	7	
6739	1010	5	
119	1011	15	
7554	1012	24	
8381	1013	9	
754	1014	12	
3138	1015	4	
942	1016	1	
7790	1017	10	
1477	1018	16	
2247	1019	12	
7904	1020	23	
1335	1021	5	
6365	1022	11	
1283	1023	11	
9535	1024	20	
4866	1025	15	
903	1026	9	
9383	1027	12	
6969	1028	17	
6988	1029	20	
8065	1030	12	
5826	1031	6	
7245	1032	16	
2229	1033	12	
9887	1034	3	
9995	1035	17	
5582	1036	13	
1646	1037	7	
4089	1038	18	
790	1039	17	
4179	1040	16	
6316	1041	16	
462	1042	5	
9035	1043	4	
77	1044	19	
734	1045	9	
8734	1046	14	
7196	1047	16	
2443	1048	9	
8315	1049	11	
7322	1050	10	
8599	1051	5	
8250	1052	9	
871	1053	10	
2609	1054	14	
8841	1055	20	
348	1056	4	
3132	1057	17	
5146	1058	9	
5871	1059	10	
2131	1060	2	
5308	1061	20	
2322	1062	10	
397	1063	15	
4495	1064	21	
66	1065	8	
1229	1066	4	
4416	1067	3	
3214	1068	4	
6698	1069	13	
5053	1070	28	
5575	1071	6	
5216	1072	6	
2489	1073	35	
8260	1074	11	
6716	1075	25	
5689	1076	8	
3438	1077	24	
5204	1078	14	
2983	1079	27	
3774	1080	13	
2264	1081	18	
9273	1082	9	
8398	1083	11	
8755	1084	13	
809	1085	2	
9565	1086	11	
977	1087	9	
4631	1088	5	
9897	1089	25	
9617	1090	4	
4731	1091	17	
1666	1092	1	
186	1093	28	
2954	1094	7	
2571	1095	29	
7975	1096	2	
2954	1097	9	
3309	1098	30	
8378	1099	11	
3011	1100	10	
6609	1101	5	
1797	1102	23	
5582	1103	10	
2203	1104	3	
4457	1105	21	
6588	1106	9	
5058	1107	7	
5048	1108	8	
2871	1109	9	
4273	1110	12	
5439	1111	16	
8676	1112	22	
8909	1113	10	
5248	1114	9	
2099	1115	8	
1793	1116	2	
9280	1117	12	
6039	1118	14	
8575	1119	4	
9325	1120	4	
4702	1121	17	
823	1122	6	
6069	1123	2	
2480	1124	9	
7187	1125	19	
5648	1126	8	
4751	1127	7	
4015	1128	2	
3756	1129	2	
5068	1130	15	
2180	1131	1	
6133	1132	3	
9739	1133	31	
9410	1134	3	
240	1135	2	
7045	1136	15	
3469	1137	15	
8762	1138	1	
6808	1139	5	
7381	1140	26	
2914	1141	7	
252	1142	9	
7343	1143	12	
7893	1144	29	
8392	1145	16	
2514	1146	51	
6515	1147	2	
3229	1148	16	
9937	1149	35	
1680	1150	3	
1327	1151	24	
153	1152	11	
5659	1153	44	
296	1154	6	
6099	1155	6	
4461	1156	8	
8231	1157	10	
6647	1158	15	
7322	1159	3	
7927	1160	21	
1174	1161	34	
2461	1162	19	
2274	1163	41	
1912	1164	1	
5257	1165	24	
343	1166	6	
4805	1167	1	
8939	1168	3	
580	1169	4	
3633	1170	5	
6628	1171	40	
470	1172	8	
6465	1173	15	
6636	1174	9	
1900	1175	22	
1420	1176	4	
478	1177	3	
9022	1178	20	
439	1179	26	
3155	1180	9	
2230	1181	6	
6778	1182	44	
9749	1183	3	
3320	1184	2	
3558	1185	33	
3372	1186	18	
2378	1187	10	
4150	1188	13	
2292	1189	17	
7014	1190	23	
1169	1191	3	
7105	1192	5	
7637	1193	34	
1756	1194	9	
5678	1195	16	
8817	1196	13	
8193	1197	13	
1310	1198	6	
8448	1199	11	
1621	1200	31	
6916	1201	1	
7325	1202	4	
4823	1203	25	
573	1204	14	
447	1205	13	
9982	1206	9	
6252	1207	3	
3472	1208	10	
2869	1209	6	
2194	1210	5	
940	1211	22	
1344	1212	4	
5182	1213	11	
1819	1214	14	
9020	1215	24	
4078	1216	3	
5073	1217	3	
6671	1218	11	
6954	1219	8	
7987	1220	2	
3390	1221	16	
2250	1222	8	
197	1223	10	
481	1224	10	
9746	1225	13	
1769	1226	2	
3000	1227	16	
5582	1228	14	
6003	1229	2	
8140	1230	3	
6692	1231	13	
553	1232	21	
3737	1233	9	
3062	1234	25	
4316	1235	44	
607	1236	16	
1582	1237	3	
3591	1238	8	
3238	1239	25	
7454	1240	4	
2795	1241	17	
8828	1242	5	
9156	1243	11	
3084	1244	16	
8462	1245	6	
9193	1246	8	
3928	1247	44	
4162	1248	18	
1166	1249	12	
9972	1250	22	
492	1251	12	
6792	1252	40	
5330	1253	6	
2357	1254	21	
8249	1255	14	
4229	1256	1	
7377	1257	8	
1276	1258	2	
6306	1259	6	
3763	1260	20	
3085	1261	15	
9568	1262	18	
8592	1263	2	
9821	1264	16	
4825	1265	11	
5006	1266	15	
5456	1267	10	
6848	1268	5	
1883	1269	2	
4214	1270	2	
4791	1271	11	
3868	1272	22	
8163	1273	5	
4740	1274	26	
2503	1275	1	
2961	1276	2	
85	1277	4	
8976	1278	5	
416	1279	6	
7666	1280	2	
9767	1281	35	
3811	1282	11	
933	1283	13	
4276	1284	14	
1425	1285	7	
8185	1286	17	
3799	1287	13	
6660	1288	20	
3737	1289	6	
1279	1290	1	
1653	1291	5	
5822	1292	8	
5237	1293	2	
1678	1294	41	
156	1295	35	
7515	1296	8	
7750	1297	14	
3406	1298	3	
1860	1299	5	
8461	1300	9	
6116	1301	18	
4832	1302	10	
5512	1303	6	
1460	1304	10	
463	1305	3	
9996	1306	11	
8592	1307	12	
2439	1308	3	
3599	1309	2	
1944	1310	6	
3111	1311	12	
6032	1312	17	
6440	1313	11	
6770	1314	43	
730	1315	10	
4889	1316	8	
2969	1317	4	
1540	1318	18	
7111	1319	1	
7281	1320	23	
6887	1321	28	
311	1322	2	
8073	1323	7	
355	1324	14	
8807	1325	9	
4202	1326	17	
5687	1327	8	
8828	1328	17	
562	1329	9	
3227	1330	11	
1381	1331	11	
266	1332	24	
7296	1333	7	
9739	1334	15	
7328	1335	11	
8103	1336	13	
4192	1337	3	
5235	1338	3	
7869	1339	5	
3978	1340	11	
371	1341	20	
7808	1342	37	
8207	1343	11	
473	1344	8	
2555	1345	2	
2789	1346	8	
8235	1347	2	
702	1348	10	
1212	1349	13	
9050	1350	12	
7048	1351	7	
8024	1352	15	
7331	1353	11	
3723	1354	36	
262	1355	16	
166	1356	6	
3667	1357	1	
4776	1358	9	
1036	1359	5	
3745	1360	14	
596	1361	6	
5676	1362	10	
6725	1363	5	
7286	1364	4	
9562	1365	17	
6515	1366	11	
3585	1367	18	
5663	1368	8	
3576	1369	21	
7805	1370	3	
9453	1371	22	
2519	1372	2	
9809	1373	10	
1192	1374	8	
6382	1375	4	
7216	1376	10	
6596	1377	6	
6735	1378	6	
6968	1379	9	
1048	1380	15	
3136	1381	20	
2840	1382	1	
1834	1383	18	
7864	1384	7	
1033	1385	41	
7304	1386	3	
5863	1387	3	
1010	1388	21	
435	1389	18	
316	1390	48	
1196	1391	15	
9510	1392	12	
3619	1393	3	
2670	1394	17	
6825	1395	9	
6262	1396	2	
6733	1397	37	
4089	1398	16	
6892	1399	22	
6185	1400	31	
122	1401	11	
2956	1402	2	
1692	1403	38	
3810	1404	3	
1277	1405	11	
1126	1406	5	
9347	1407	34	
379	1408	34	
928	1409	3	
2793	1410	11	
9908	1411	3	
8953	1412	7	
1548	1413	14	
2571	1414	8	
2341	1415	9	
2094	1416	14	
4857	1417	9	
4707	1418	21	
8768	1419	2	
7091	1420	6	
4740	1421	11	
4787	1422	21	
6137	1423	5	
7879	1424	10	
7307	1425	6	
6174	1426	14	
465	1427	2	
7674	1428	5	
9659	1429	26	
2780	1430	1	
8852	1431	10	
7077	1432	39	
7662	1433	19	
1860	1434	25	
7687	1435	43	
3690	1436	14	
4911	1437	10	
1989	1438	10	
8033	1439	28	
79	1440	8	
9947	1441	20	
120	1442	28	
2543	1443	7	
4126	1444	3	
854	1445	15	
1072	1446	17	
7486	1447	24	
3844	1448	23	
7072	1449	10	
9514	1450	13	
5978	1451	39	
2457	1452	18	
7325	1453	4	
843	1454	1	
6939	1455	9	
8218	1456	4	
8626	1457	8	
6623	1458	27	
8650	1459	2	
4161	1460	10	
2536	1461	1	
4046	1462	7	
8928	1463	8	
5102	1464	11	
9270	1465	14	
926	1466	29	
2340	1467	9	
2490	1468	16	
2807	1469	1	
2379	1470	26	
2949	1471	1	
7067	1472	10	
2318	1473	9	
394	1474	5	
2810	1475	12	
4404	1476	13	
8391	1477	4	
2907	1478	15	
4975	1479	3	
5827	1480	18	
8054	1481	1	
3932	1482	2	
2872	1483	9	
5159	1484	12	
2418	1485	9	
6174	1486	12	
336	1487	6	
1572	1488	9	
3438	1489	7	
5300	1490	45	
1895	1491	13	
6956	1492	12	
7581	1493	8	
9588	1494	17	
9896	1495	2	
1743	1496	3	
7024	1497	3	
5023	1498	8	
5338	1499	4	
1373	1500	9	
9540	1501	17	
7601	1502	12	
8936	1503	5	
3911	1504	29	
9483	1505	22	
5693	1506	9	
1840	1507	17	
6533	1508	18	
7851	1509	28	
591	1510	19	
6365	1511	6	
2296	1512	14	
6458	1513	9	
2385	1514	6	
3415	1515	16	
8250	1516	14	
8046	1517	4	
2925	1518	10	
6706	1519	6	
2399	1520	1	
8398	1521	10	
116	1522	56	
4333	1523	13	
5391	1524	38	
4885	1525	11	
9935	1526	24	
5868	1527	5	
3490	1528	10	
5977	1529	5	
4365	1530	39	
8111	1531	33	
1972	1532	18	
5402	1533	31	
1834	1534	6	
1046	1535	21	
181	1536	15	
9381	1537	4	
6909	1538	12	
171	1539	8	
7801	1540	11	
1290	1541	11	
8353	1542	2	
8281	1543	1	
6251	1544	8	
2727	1545	10	
4011	1546	3	
8675	1547	20	
7535	1548	3	
7389	1549	33	
4512	1550	16	
3097	1551	15	
6839	1552	15	
8061	1553	24	
795	1554	25	
2904	1555	10	
5745	1556	7	
262	1557	27	
5973	1558	23	
3933	1559	14	
8778	1560	8	
8717	1561	16	
202	1562	11	
9845	1563	5	
3669	1564	30	
811	1565	10	
1472	1566	3	
1077	1567	16	
2427	1568	9	
5812	1569	19	
4184	1570	5	
8195	1571	11	
9962	1572	13	
1368	1573	8	
156	1574	36	
8552	1575	1	
5206	1576	3	
9100	1577	2	
899	1578	3	
3104	1579	4	
7464	1580	16	
7135	1581	17	
3881	1582	2	
6917	1583	4	
4701	1584	31	
8904	1585	25	
181	1586	15	
3695	1587	39	
1763	1588	8	
7333	1589	6	
8785	1590	25	
9795	1591	35	
8126	1592	24	
7701	1593	4	
8965	1594	12	
9601	1595	7	
5653	1596	25	
8280	1597	12	
8737	1598	31	
2489	1599	33	
6608	1600	13	
7296	1601	5	
3670	1602	13	
8176	1603	7	
2258	1604	10	
6752	1605	2	
6025	1606	13	
2697	1607	19	
2183	1608	7	
1076	1609	3	
8651	1610	3	
5200	1611	19	
8804	1612	5	
484	1613	13	
4006	1614	11	
2361	1615	10	
1831	1616	17	
5809	1617	13	
2921	1618	21	
4969	1619	17	
1134	1620	10	
4897	1621	7	
1773	1622	10	
6739	1623	15	
6695	1624	9	
1575	1625	8	
6564	1626	34	
2320	1627	8	
9212	1628	12	
2227	1629	10	
5410	1630	7	
6976	1631	19	
985	1632	15	
4929	1633	1	
3130	1634	27	
2600	1635	5	
8678	1636	11	
5782	1637	19	
8225	1638	30	
3223	1639	13	
5436	1640	5	
8032	1641	18	
2971	1642	9	
6057	1643	12	
6493	1644	3	
4670	1645	13	
8410	1646	12	
5874	1647	2	
163	1648	24	
8620	1649	4	
5945	1650	27	
128	1651	13	
4537	1652	7	
3536	1653	8	
5798	1654	73	
8295	1655	11	
6069	1656	6	
3145	1657	19	
1851	1658	5	
2673	1659	4	
2877	1660	17	
5098	1661	29	
5406	1662	12	
7184	1663	16	
6057	1664	1	
7451	1665	15	
8473	1666	8	
939	1667	9	
1613	1668	9	
3380	1669	11	
2336	1670	28	
698	1671	6	
5375	1672	2	
6226	1673	13	
8586	1674	17	
5472	1675	11	
1864	1676	47	
5538	1677	12	
9959	1678	20	
8850	1679	7	
5436	1680	5	
4822	1681	13	
7045	1682	6	
9903	1683	12	
6693	1684	16	
6342	1685	8	
