u	v	w
3936	643	13	
2151	644	3	
1274	645	13	
3576	646	8	
9884	647	30	
5761	648	24	
9351	649	8	
3665	650	9	
7585	651	6	
2490	652	11	
5909	653	15	
911	654	40	
2461	655	3	
1359	656	22	
8532	657	3	
6562	658	15	
4521	659	13	
8945	660	10	
4802	661	14	
8508	662	1	
217	663	21	
3789	664	8	
2765	665	9	
358	666	25	
5969	667	13	
9898	668	9	
3941	669	13	
8903	670	8	
1272	671	10	
4824	672	18	
6132	673	18	
7320	674	6	
3309	675	18	
448	676	18	
6121	677	22	
4060	678	25	
9115	679	10	
1312	680	13	
9430	681	9	
421	682	11	
7248	683	2	
1883	684	2	
6025	685	1	
7487	686	18	
7207	687	4	
197	688	6	
1198	689	13	
7242	690	15	
4374	691	12	
5795	692	9	
2716	693	14	
5947	694	7	
1756	695	23	
174	696	1	
1490	697	12	
9030	698	10	
1535	699	23	
2389	700	1	
5987	701	24	
4079	702	32	
605	703	2	
6424	704	22	
2586	705	15	
6878	706	10	
2094	707	1	
5614	708	1	
176	709	8	
8414	710	10	
7	711	8	
2540	712	17	
4677	713	2	
3054	714	16	
1157	715	13	
357	716	11	
4273	717	19	
6307	718	3	
4223	719	5	
1426	720	12	
3795	721	18	
5139	722	13	
9597	723	14	
1660	724	8	
1515	725	14	
5963	726	15	
9096	727	21	
4256	728	7	
3497	729	20	
3433	730	33	
145	731	4	
785	732	28	
353	733	3	
7757	734	13	
1485	735	6	
9447	736	6	
7731	737	15	
3865	738	7	
4524	739	15	
1864	740	35	
3884	741	14	
2842	742	16	
7715	743	1	
162	744	10	
8521	745	13	
2389	746	4	
9923	747	13	
4911	748	17	
5376	749	18	
4827	750	7	
76	751	14	
2242	752	9	
7209	753	7	
3128	754	7	
8007	755	2	
2039	756	4	
8590	757	12	
8244	758	5	
1585	759	20	
2715	760	13	
30	761	1	
1387	762	3	
1307	763	10	
3214	764	5	
7610	765	13	
619	766	9	
2024	767	7	
6491	768	5	
2901	769	14	
2511	770	46	
1298	771	19	
7944	772	5	
6940	773	13	
8043	774	6	
7024	775	32	
6113	776	44	
